año,mes,valor
2012,1,4
2012,2,4
2012,3,4
2012,4,4
2012,5,4
2012,6,4
2012,7,4
2012,8,4
2012,9,4
2012,10,4
2012,11,4
2012,12,4
2013,1,4
2013,2,5
2013,3,5
2013,4,5
2013,5,5
2013,6,5
2013,7,5
2013,8,5
2013,9,5
2013,10,5
2013,11,6
2013,12,6
2014,1,8
2014,2,7
2014,3,8
2014,4,8
2014,5,8
2014,6,8
2014,7,8
2014,8,8
2014,9,8
2014,10,8
2014,11,8
2014,12,8
2015,1,8
2015,2,8
2015,3,8
2015,4,8
2015,5,9
2015,6,9
2015,7,9
2015,8,9
2015,9,9
2015,10,9
2015,11,9
2015,12,12
2016,1,13
2016,2,15
2016,3,14
2016,4,14
2016,5,13
2016,6,15
2016,7,15
2016,8,14
2016,9,15
2016,10,15
2016,11,15
2016,12,15
2017,1,15
2017,2,15
2017,3,15
2017,4,15
2017,5,16
2017,6,16
2017,7,17
2017,8,17
2017,9,17
2017,10,17
2017,11,17
2017,12,18
2018,1,19
2018,2,20
2018,3,20
2018,4,20
2018,5,24
2018,6,28
2018,7,27
2018,8,36
2018,9,41
2018,10,35
2018,11,37
2018,12,37
2019,1,37
2019,2,39
2019,3,43
2019,4,44
2019,5,44
2019,6,42
2019,7,43
2019,8,59
2019,9,57
2019,10,59
2019,11,59
2019,12,59
2020,1,60
2020,2,62
2020,3,64
2020,4,66
2020,5,68
2020,6,70
2020,7,72
2020,8,74
2020,9,76
2020,10,78
2020,11,81
2020,12,84
2021,1,87
2021,2,89
2021,3,91
2021,4,93
2021,5,94
2021,6,95
2021,7,96
2021,8,97
2021,9,98
2021,10,99
2021,11,100
2021,12,102
2022,1,105
2022,2,107
2022,3,111
2022,4,115
2022,5,120
2022,6,125
2022,7,131
2022,8,138
2022,9,147
2022,10,156
2022,11,167
2022,12,176
2023,1,186
2023,2,197
2023,3,208
2023,4,222
2023,5,239
2023,6,256
2023,7,275
2023,8,349
2023,9,350
2023,10,349
2023,11,360
2023,12,808
2024,1,826
2024,2,842
2024,3,856
2024,4,868
